Method_Type,Wavelet_Family,Wavelet,Algorithm,Features,Feature_Count,Feature_Extractor,Strategy,Training_Timesteps,Random_Seed,Alpha,Beta,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown,Win_Rate,Max_Loss,RoMaD,CAGR,Volatility,T_Statistic,P_Value,Total_Return,Best_Learning_Rate,Best_Gamma,Validation_Score
Reinforcement_Learning,Daubechies,db1,DQN,GEX,1,Advanced,Long-Only,50000,1037477337,0.0763153111823559,-0.14036250329306107,0.25264912916661986,0.009622750723268196,0.19978240234375,0.0380818053596615,-0.15148441291120482,0.27433854580458744,0.054808013736331374,0.23356381664523995,0.5670106023344293,0.5708866961644452,0.1622249462890625,0.0003,0.95,-0.15511493089204742
Reinforcement_Learning,Daubechies,db1,DQN,VIX,1,Advanced,Long-Only,50000,364088623,0.12344961148361037,-0.19669966161615604,0.3586982058392877,0.015222985473116391,0.25679031571361977,0.07334273624823695,-0.1453103038443103,0.33419599559813734,0.08581829521987316,0.27655019056687513,0.7224562844658301,0.4702525538839344,0.2610850146484375,0.0003,0.95,0.7801498632263912
Reinforcement_Learning,Daubechies,db1,DQN,DIX_GEX,2,Advanced,Long-Only,50000,2909091739,0.09001251046504004,-0.1369537901699317,0.2960800859047409,0.013602222549846478,0.20028019860624388,0.056417489421720736,-0.14462200918350865,0.3308398287157161,0.06626066660203933,0.2469843996129998,0.6320089163350657,0.527585073547127,0.19813013671875,0.0001,0.95,0.09185568677434203
Reinforcement_Learning,Daubechies,db1,DQN,DIX_VIX,2,Advanced,Long-Only,50000,1507108587,0.20626565018132817,-0.09570421551450142,0.5908888180931888,0.048098527667425006,0.36585384955762473,0.4682651622002821,-0.11980935660461223,0.4758110053331182,0.1740772879630048,0.3291076951840081,1.0922873114935046,0.2750783731758043,0.5716927490234375,0.0001,0.95,0.723081002880434
Reinforcement_Learning,Daubechies,db1,DQN,GEX_VIX,2,Advanced,Long-Only,50000,1896002713,0.06310529870779019,-0.15491888209315136,0.16271410057840857,0.007972153106544907,0.2685895972667624,0.06205923836389281,-0.16293033507783772,0.11246187345454361,0.030206089299021466,0.27044363568965357,0.3966920041124306,0.6917141368391359,0.08745970703125,5e-05,0.99,0.042899784544584596
Reinforcement_Learning,Daubechies,db1,DQN,DIX_GEX_VIX,3,Advanced,Long-Only,50000,1267137230,0.13259613227316405,-0.12132706129845072,0.5111840410616333,0.027458145497423984,0.1771706161771913,0.08885754583921016,-0.12520162917568414,0.6689588908648291,0.11851985889173222,0.23012737097796018,1.0025006595922665,0.31644434706878455,0.3710449462890625,5e-05,0.99,0.47287170917128435
Reinforcement_Learning,Daubechies,db2,PPO,DIX,1,Advanced,Long-Only,50000,57980383,0.2501598610290909,-0.04130979087771766,0.7038097167128572,0.06375207374720111,0.3485530710515328,0.5260930888575458,-0.10799059070549107,0.6515998635416274,0.22711713353419394,0.3482001966598696,1.2759759472443182,0.20238245879040712,0.7800525927734375,0.0003,0.95,0.7433550156722369
Reinforcement_Learning,Daubechies,db2,PPO,GEX,1,Advanced,Long-Only,50000,2084480805,0.08868235672531263,-0.13579641719726576,0.20749291700489766,0.012149777306930886,0.3259774755859375,0.16361071932299012,-0.15288075263789255,0.10418790545658332,0.033962910407323355,0.34670920209043243,0.44448190939448545,0.6568300393754032,0.09866970703125,0.0001,0.99,0.7433550156722369
Reinforcement_Learning,Daubechies,db2,PPO,VIX,1,Advanced,Long-Only,50000,3791358885,0.27299498262899935,-0.052932496879836984,0.7971173361320212,0.07267518252695516,0.33639395095444014,0.53737658674189,-0.09903083589135661,0.7710870758090468,0.25938902796131114,0.3342905756786597,1.436380743188179,0.1513357366894875,0.9151225,0.0003,0.95,0.7433550156722369
Reinforcement_Learning,Daubechies,db2,PPO,DIX_GEX,2,Advanced,Long-Only,50000,1491623949,0.25553227447271265,-0.048491419038540075,0.7661356995965614,0.06299053586124878,0.32773824589170786,0.37940761636107195,-0.10105349620655149,0.73795661817148,0.24185660758369765,0.3257303580416743,1.3870858709935312,0.16585208118177502,0.8409525048828125,0.0003,0.95,0.7433550156722369
Reinforcement_Learning,Daubechies,db2,PPO,DIX_VIX,2,Advanced,Long-Only,50000,1484189855,0.2026100021782792,-0.07840418761611023,0.5199409602794449,0.04509925978170631,0.3653502816401873,0.46262341325811,-0.13250183698752008,0.4265550307782823,0.15584200062988418,0.371087073442849,0.961844029752519,0.33645633427741684,0.503882646484375,0.0003,0.95,0.7433550156722369
Reinforcement_Learning,Daubechies,db2,PPO,GEX_VIX,2,Advanced,Long-Only,50000,610614374,0.11977934866544485,0.0023272683449225224,0.6445022977820037,0.03395527857790681,0.1735824839478853,0.12834978843441466,-0.1066380267324125,0.751235508732252,0.1304013256355976,0.18629302541334003,1.2602403083808722,0.20799788917028933,0.4124754296875,0.0003,0.95,0.7433550156722369
Reinforcement_Learning,Daubechies,db2,PPO,DIX_GEX_VIX,3,Advanced,Long-Only,50000,2653564144,0.2644439480976583,-0.05031599181244922,0.7717307174677774,0.06975285994791657,0.33639395095444014,0.5218617771509168,-0.1004409242147486,0.7401248163742717,0.24897351117957078,0.3346249770009018,1.3937284068360674,0.1638369406570275,0.870832421875,0.0001,0.99,0.7433550156722369
Reinforcement_Learning,Daubechies,db2,A2C,DIX,1,Advanced,Long-Only,50000,3178472144,0.27299498262899935,-0.052932496879836984,0.7971173361320212,0.07267518252695516,0.33639395095444014,0.53737658674189,-0.09903083589135661,0.7710870758090468,0.25938902796131114,0.3342905756786597,1.436380743188179,0.1513357366894875,0.9151225,0.0001,0.95,0.7433550156722369
Reinforcement_Learning,Daubechies,db2,A2C,GEX,1,Advanced,Long-Only,50000,311556625,0.1015308347323466,-0.11844290532101454,0.2764460231004528,0.01622951762525531,0.29937812195098235,0.1622002820874471,-0.14196741223817452,0.2018226116024951,0.06042127442879752,0.3144474106469677,0.5699788066711551,0.5688728870092326,0.17973501953125,0.0001,0.95,0.7433550156722369
Reinforcement_Learning,Daubechies,db2,A2C,VIX,1,Advanced,Long-Only,50000,2431208438,0.27299498262899935,-0.052932496879836984,0.7971173361320212,0.07267518252695516,0.33639395095444014,0.53737658674189,-0.09903083589135661,0.7710870758090468,0.25938902796131114,0.3342905756786597,1.436380743188179,0.1513357366894875,0.9151225,0.0001,0.95,0.7433550156722369
Reinforcement_Learning,Daubechies,db2,A2C,DIX_GEX,2,Advanced,Long-Only,50000,3476286141,0.27299498262899935,-0.052932496879836984,0.7971173361320212,0.07267518252695516,0.33639395095444014,0.53737658674189,-0.09903083589135661,0.7710870758090468,0.25938902796131114,0.3342905756786597,1.436380743188179,0.1513357366894875,0.9151225,0.0001,0.95,0.7433550156722369
Reinforcement_Learning,Daubechies,db2,A2C,DIX_VIX,2,Advanced,Long-Only,50000,2743912420,0.27299498262899935,-0.052932496879836984,0.7971173361320212,0.07267518252695516,0.33639395095444014,0.53737658674189,-0.09903083589135661,0.7710870758090468,0.25938902796131114,0.3342905756786597,1.436380743188179,0.1513357366894875,0.9151225,0.0001,0.95,0.7433550156722369
Reinforcement_Learning,Daubechies,db2,A2C,GEX_VIX,2,Advanced,Long-Only,50000,4057095557,0.27299498262899935,-0.052932496879836984,0.7971173361320212,0.07267518252695516,0.33639395095444014,0.53737658674189,-0.09903083589135661,0.7710870758090468,0.25938902796131114,0.3342905756786597,1.436380743188179,0.1513357366894875,0.9151225,0.0001,0.95,0.7433550156722369
Reinforcement_Learning,Daubechies,db2,A2C,DIX_GEX_VIX,3,Advanced,Long-Only,50000,4016559600,0.27299498262899935,-0.052932496879836984,0.7971173361320212,0.07267518252695516,0.33639395095444014,0.53737658674189,-0.09903083589135661,0.7710870758090468,0.25938902796131114,0.3342905756786597,1.436380743188179,0.1513357366894875,0.9151225,0.0001,0.95,0.7433550156722369
Reinforcement_Learning,Daubechies,db2,DQN,DIX,1,Advanced,Long-Only,50000,3539787218,0.15180026511469136,0.002242397186814378,0.4322714433598795,0.03274468466709567,0.35789383709300204,0.3554301833568406,-0.15921592787205027,0.32872056780538483,0.11764706534325953,0.35180842446200034,0.8198459992725519,0.41257981403355015,0.3680328466796875,5e-05,0.99,0.549259707999088
Reinforcement_Learning,Daubechies,db2,DQN,GEX,1,Advanced,Long-Only,50000,2494141467,0.08249989298338423,-0.1378215879088629,0.2864618514175719,0.01076717843117187,0.19978240234375,0.0380818053596615,-0.14803891994872248,0.314005924802249,0.06273285800716422,0.22867810030149865,0.6267527610473247,0.531023349845537,0.1869949658203125,0.0001,0.95,-0.1625732073279016
Reinforcement_Learning,Daubechies,db2,DQN,VIX,1,Advanced,Long-Only,50000,3611779853,-0.02,0.0,0.0,-1.2598815766974245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5e-05,0.99,0.48242701617651534
Reinforcement_Learning,Daubechies,db2,DQN,DIX_GEX,2,Advanced,Long-Only,50000,3597282565,0.09199838748098281,-0.14912829263990227,0.29777364230784603,0.014351484930647952,0.20129255354323217,0.06629055007052186,-0.14445615549821578,0.3311836407550841,0.06666480073933534,0.24720796727057723,0.6347248431060212,0.525812937929015,0.199410029296875,5e-05,0.99,0.19551135051455154
Reinforcement_Learning,Daubechies,db2,DQN,DIX_VIX,2,Advanced,Long-Only,50000,2679780458,0.0933869258518748,-0.15494243111403197,0.22669348724612878,0.009829473650256111,0.3304047526089634,0.08744710860366714,-0.1719564781165925,0.1325500228116499,0.04379515749539564,0.3276835059174353,0.48227913245673737,0.6297567303039584,0.128360322265625,0.0003,0.95,0.6554936126429658
Reinforcement_Learning,Daubechies,db2,DQN,GEX_VIX,2,Advanced,Long-Only,50000,3933450177,0.05890202043542798,-0.17239174419001307,0.14514114691940397,0.006958165621236295,0.24734080353017593,0.06205923836389281,-0.15503671949488546,0.10627886318629766,0.026287099418772497,0.25938506106054593,0.3725216039121538,0.7096160146907486,0.0758447216796875,5e-05,0.99,0.3780063106971856
